Area Name,Date,Daily Cases,Mobility % change
"Bingham, Idaho",3/20/2020,1,0.52
"Bingham, Idaho",3/21/2020,0,0.32
"Bingham, Idaho",3/22/2020,0,-0.16
"Bingham, Idaho",3/23/2020,0,0.07
"Bingham, Idaho",3/24/2020,0,0.18
"Bingham, Idaho",3/25/2020,0,0.03
"Bingham, Idaho",3/26/2020,0,0.11
"Bingham, Idaho",3/27/2020,0,0.2
"Bingham, Idaho",3/28/2020,0,-0.04
"Bingham, Idaho",3/29/2020,0,-0.31
"Bingham, Idaho",3/30/2020,0,0.05
"Bingham, Idaho",3/31/2020,1,0.09
"Bingham, Idaho",4/1/2020,0,-0.03
"Bingham, Idaho",4/2/2020,0,0
"Bingham, Idaho",4/3/2020,0,0.1
"Bingham, Idaho",4/4/2020,0,-0.05
"Bingham, Idaho",4/5/2020,0,-0.39
"Bingham, Idaho",4/6/2020,0,-0.01
"Bingham, Idaho",4/7/2020,0,-0.02
"Bingham, Idaho",4/8/2020,0,0.12
"Bingham, Idaho",4/9/2020,0,0.21
"Bingham, Idaho",4/10/2020,0,0.38
"Bingham, Idaho",4/11/2020,0,0.01
"Bingham, Idaho",4/12/2020,0,-0.43
"Bingham, Idaho",4/13/2020,0,0.16
"Bingham, Idaho",4/14/2020,0,0.16
"Bingham, Idaho",4/15/2020,0,0.04
"Bingham, Idaho",4/16/2020,1,0.19
"Bingham, Idaho",4/17/2020,0,0.52
"Bingham, Idaho",4/18/2020,0,0.28
"Bingham, Idaho",4/19/2020,0,-0.19
"Bingham, Idaho",4/20/2020,0,0.28
"Bingham, Idaho",4/21/2020,0,0.32
"Bingham, Idaho",4/22/2020,0,0.33
"Bingham, Idaho",4/23/2020,0,0.68
"Bingham, Idaho",4/24/2020,0,0.54
"Bingham, Idaho",4/25/2020,0,0.44
"Bingham, Idaho",4/26/2020,0,0
"Bingham, Idaho",4/27/2020,0,0.28
"Bingham, Idaho",4/28/2020,0,0.38
"Bingham, Idaho",4/29/2020,1,0.43
"Bingham, Idaho",4/30/2020,0,0.45
"Bingham, Idaho",5/1/2020,0,0.71
"Bingham, Idaho",5/2/2020,0,0.54
"Bingham, Idaho",5/3/2020,0,0.07
"Bingham, Idaho",5/4/2020,0,0.4
"Bingham, Idaho",5/5/2020,0,0.5
"Bingham, Idaho",5/6/2020,0,0.71
"Bingham, Idaho",5/7/2020,0,0.67
"Bingham, Idaho",5/8/2020,0,0.89
"Bingham, Idaho",5/9/2020,0,0.59
"Bingham, Idaho",5/10/2020,0,0.08
"Bingham, Idaho",5/13/2020,2,0.6
"Bingham, Idaho",5/14/2020,0,0.72
"Bingham, Idaho",5/15/2020,0,0.93
"Bingham, Idaho",5/16/2020,0,0.95
"Bingham, Idaho",5/17/2020,0,0.33
"Bingham, Idaho",5/18/2020,0,0.75
"Bingham, Idaho",5/19/2020,0,0.92
"Bingham, Idaho",5/20/2020,0,0.76
"Bingham, Idaho",5/21/2020,0,1.05
"Bingham, Idaho",5/22/2020,0,1.36
"Bingham, Idaho",5/23/2020,0,0.96
"Bingham, Idaho",5/24/2020,0,0.53
"Bingham, Idaho",5/25/2020,0,0.97
"Bingham, Idaho",5/26/2020,0,0.94
"Bingham, Idaho",5/27/2020,0,1.16
"Bingham, Idaho",5/28/2020,0,1.08
"Bingham, Idaho",5/29/2020,0,1.35
"Bingham, Idaho",5/30/2020,0,1.18
